"","LarvalRecords_NestID","count","mdoy","sddoy","mDist","mAge","nestDist"
"1","10K13",5,338.694,0.378523447094106,28825.03,13.296,25047.43
"2","1B11",9,301.915555555556,0.407403703686861,34906.28,12.0744444444444,31861.6133333333
"3","1B12",9,307.163333333333,1.25509959764155,34906.28,10.8266666666667,32610.28
"4","1K11",9,301.74,0.679485099174367,28825.03,11.25,26275.03
"5","1K12",2,334.215,0.445477272147522,28825.03,13.775,24760.03
"6","1K13",2,329.875,0.0636396103068118,28825.03,15.115,23956.03
"7","1L11",5,305.57,1.06869078783341,13980.31,15.42,8928.31
"8","1L12",4,311.56,2.17597487730596,13980.31,13.43,10122.31
"9","1L13",5,330.642,0.69030428073422,13980.31,14.348,9571.51
"10","1M11",1,304.91,NA,20813.63,21.08,12365.63
"11","1M12",6,314.87,1.19106674875927,18535.8566666667,13.7866666666667,14463.8566666667
"12","1M13",5,331.338,0.63586162016589,20813.63,14.652,16222.43
"13","1N11",3,306.9,0.952470471983257,46228.76,12.09,43174.76
"14","1N12",20,308.699,1.80016636658071,46228.76,11.291,43654.16
"15","1N13",5,328.644,0.595927847981605,46228.76,14.346,41821.16
"16","1T11",3,302.586666666667,0.773649360714117,13980.31,8.40333333333333,13138.31
"17","1T12",3,312.43,0.20999999999998,8343.72,11.56,5607.72
"18","1T13",5,329.986,0.298127489507433,8343.72,14.004,4141.32
"19","2B11",15,316.299333333333,1.35558351519435,34906.28,11.6906666666667,32091.88
"20","2B12",1,319.64,NA,34906.28,11.35,32296.28
"21","2B13",4,325.35,1.9025071178141,34906.28,13.64,30922.28
"22","2K11",4,314.2175,1.42668321641493,28825.03,12.7725,25361.53
"23","2L11",1,328.16,NA,13980.31,10.83,11682.31
"24","2L13",5,322.92,0.502692749102266,13980.31,15.07,9138.31
"25","2M11",6,316.958333333333,0.518938018135755,20813.63,9.03166666666667,19594.63
"26","2M12",1,325.06,NA,20813.63,12.93,17255.63
"27","2M13",5,323.89,0.781408983823448,20813.63,15.1,15953.63
"28","2N12",1,337.85,NA,46228.76,15.14,41344.76
"29","2N13",4,323.6125,1.14726849516579,46228.76,12.3775,43002.26
"30","2T11",21,310.795714285714,6.42227729970341,8343.72,12.9085714285714,4798.57714285714
"31","2T12",2,315.96,1.48492424049173,8343.72,17.03,2325.72
"32","2T13",4,323.8475,1.05853278960392,8343.72,13.1425,4658.22
"33","3B13",1,319.21,NA,34906.28,12.78,31438.28
"34","3L13",5,317.022,0.281815542509632,13980.31,13.968,9799.51
"35","3M11",1,328.26,NA,20813.63,11.73,17975.63
"36","3M13",5,317.642,0.621506234884245,20813.63,14.348,16404.83
"37","3T13",9,316.888888888889,0.93578101664391,8343.72,14.4344444444444,3883.05333333333
"38","4B13",5,309.958,3.54208554385689,34906.28,15.032,30087.08
"39","4K13",7,313.532857142857,1.33754394676355,28825.03,11.8857142857143,25893.6014285714
"40","4L13",2,307.4,0.268700576850885,13980.31,16.59,8226.31
"41","4M13",4,311.97,0.938189746266728,20813.63,13.02,17201.63
"42","4N13",9,311.091111111111,3.9999107628935,46228.76,14.01,42022.76
"43","4T13",6,312.478333333333,0.435404026929788,8343.72,12.1783333333333,5236.72
"44","5K13",7,315.275714285714,0.658302289804528,28825.03,15,24025.03
"45","5M13",4,340.015,0.883345911860112,20813.63,12.975,17228.63
"46","5T13",9,313.896666666667,0.820548596976437,8343.72,15.8711111111111,3021.05333333333
"47","6K13",8,309.89125,1.1500489120033,28825.03,13.47375,24940.78
"48","6L13",4,302.87,0.268700576850885,13980.31,14.12,9708.31
"49","6T13",5,307.446,1.34113012045811,11725.674,11.944,8759.274
"50","7B13",9,299.105555555556,1.32819530859651,34906.28,11.8844444444444,31975.6133333333
"51","7K13",13,298.793076923077,0.438432522656655,28825.03,12.9661538461538,25245.3376923077
"52","7L13",4,339.1125,0.653369471789623,13980.31,12.8775,10453.81
"53","7N13",18,300.517222222222,0.719491696028238,46228.76,14.4727777777778,41745.0933333333
"54","7T13",1,303.68,NA,8343.72,12.31,5157.72
"55","8B13",3,339.636666666667,0.385010822358705,34906.28,13.3533333333333,31094.28
"56","8K13",5,303.692,0.509823498869946,28825.03,15.298,23846.23
"57","8T13",5,333.712,2.2548547625069,8343.72,17.278,2176.92
"58","9K13",16,301.535,0.520474142809541,28825.03,15.455,23752.03
"59","9T13",1,331.78,NA,13980.31,20.21,6054.31
